Amplitude Settings: 480.00, 480.00
Frequency Settings: 1.30,1.30
Bias Setting: 1040
================================================================
Time [s]Pos [deg]Acutal Pos [deg]Velocity [RPM]Yaw [deg]Current [mA]
28.58, 1423.85, 77.26, 24.50, 103.89, 565.00
28.68, 1507.37, 109.47, 50.84, 117.02, 46.00
28.79, 1252.52, 129.45, 22.67, 117.02, -230.00
28.90, 846.33, 122.94, -14.66, 117.02, -452.00
29.02, 563.82, 96.80, -25.88, 54.49, -857.00
29.13, 688.03, 82.63, -22.44, 0.46, -169.00
29.24, 1068.33, 71.28, -15.57, -53.07, 128.00
29.34, 1425.65, 77.44, 11.91, -91.44, 642.00
29.45, 1505.74, 94.34, 29.54, -107.10, 369.00
29.56, 1249.82, 118.71, 33.89, -115.55, -98.00
29.67, 840.01, 116.07, -11.45, -118.29, -371.00
29.77, 577.01, 96.62, -30.23, -146.34, -507.00
29.88, 645.73, 65.56, -46.49, -159.41, 0.00
29.99, 1000.83, 54.56, -8.93, -152.41, 399.00
30.10, 1381.75, 73.92, 37.56, -131.69, 377.00
30.22, 1506.88, 110.62, 42.59, -134.13, 88.00
30.33, 1254.15, 123.64, 13.05, -137.56, -99.00
30.44, 844.40, 116.60, -13.97, -144.35, -363.00
30.54, 577.25, 91.08, -42.82, -179.36, -388.00
30.65, 645.21, 67.06, -31.37, -191.65, -19.00
30.76, 999.93, 62.39, -1.83, -198.56, 176.00
30.87, 1383.86, 75.33, 24.05, -184.27, 437.00
30.97, 1517.52, 105.16, 46.72, -174.27, 139.00
31.08, 1305.80, 124.78, 23.13, -188.86, -99.00
31.19, 900.30, 120.30, -12.82, -200.91, -352.00
31.30, 598.17, 98.03, -40.08, -233.23, -406.00
31.41, 623.80, 64.33, -44.88, -241.72, -1.00
31.52, 960.14, 55.70, -5.04, -234.57, 277.00
31.63, 1354.70, 70.49, 27.48, -222.28, 453.00
31.73, 1519.92, 103.84, 52.67, -213.39, 156.00
31.84, 1338.23, 125.14, 25.65, -220.29, -70.00
31.95, 942.96, 122.14, -9.39, -242.64, -354.00
32.06, 615.37, 98.74, -42.37, -274.71, -369.00
32.16, 595.84, 67.50, -45.80, -285.19, -30.00
32.27, 894.54, 56.76, -9.85, -286.84, 203.00
32.38, 1300.74, 68.99, 24.05, -268.81, 366.00
32.49, 1516.40, 98.82, 47.86, -254.53, 263.00
32.60, 1377.06, 121.53, 26.34, -261.43, -18.00
32.71, 990.32, 121.26, -5.72, -273.96, -253.00
32.81, 641.99, 103.05, -32.75, -315.89, -444.00
32.92, 579.91, 71.37, -47.63, -320.24, -57.00
33.03, 849.64, 57.20, -14.66, -317.49, 156.00
33.13, 1259.25, 65.47, 15.34, -311.60, 471.00
33.24, 1509.02, 94.42, 48.55, -282.39, 288.00
33.35, 1419.28, 120.47, 33.43, -288.36, 3.00
33.46, 1053.87, 123.82, -1.14, -305.87, -237.00
33.56, 680.95, 107.54, -27.02, -327.41, -485.00
33.67, 565.86, 75.15, -51.53, -336.23, -79.00
33.79, 813.52, 55.35, -20.61, -340.68, 164.00
33.89, 1222.85, 63.01, 16.26, -336.15, 374.00
34.00, 1497.70, 91.70, 49.01, -305.95, 330.00
34.11, 1442.51, 118.18, 33.89, -307.67, 8.00
34.22, 1097.77, 123.64, 2.06, -321.22, -212.00
34.32, 711.63, 109.38, -24.96, -340.77, -427.00
34.43, 561.00, 77.18, -52.90, -350.70, -111.00
34.54, 759.57, 55.44, -27.25, -352.69, 117.00
34.65, 1158.78, 59.84, 12.60, -345.09, 399.00
34.75, 1472.89, 88.26, 49.24, -319.14, 335.00
34.86, 1475.21, 116.60, 38.24, -321.04, 30.00
34.97, 1175.37, 124.52, 6.64, -331.82, -170.00
35.07, 770.45, 113.34, -21.07, -346.45, -438.00
35.18, 562.42, 83.42, -50.15, -365.53, -217.00
35.29, 699.30, 59.84, -30.23, -371.54, 26.00
35.40, 1080.67, 59.40, 4.35, -383.74, 334.00
35.50, 1435.12, 80.96, 40.08, -354.00, 382.00
35.61, 1502.59, 111.23, 43.74, -355.57, 75.00
35.72, 1235.06, 124.43, 13.28, -369.12, -135.00
35.83, 828.83, 116.25, -15.80, -383.87, -447.00
35.93, 573.91, 90.02, -46.26, -416.20, -306.00
36.04, 664.82, 60.72, -37.78, -424.67, -3.00
36.15, 1032.76, 57.20, 1.37, -400.95, 326.00
36.26, 1403.42, 76.12, 36.18, -376.35, 400.00
36.37, 1513.06, 110.00, 51.30, -375.44, 87.00
36.47, 1281.22, 126.37, 18.32, -385.36, -120.00
36.58, 872.87, 119.68, -13.74, -390.44, -390.00
36.69, 586.37, 92.84, -47.17, -419.53, -333.00
36.80, 628.54, 63.45, -41.22, -430.37, -4.00
36.90, 969.37, 56.32, -4.81, -420.80, 265.00
37.01, 1361.70, 72.86, 31.60, -398.65, 372.00
37.12, 1519.66, 103.49, 46.94, -389.49, 191.00
37.23, 1315.01, 122.67, 20.15, -397.26, -63.00
37.34, 914.80, 118.80, -10.76, -425.25, -312.00
37.45, 602.65, 97.86, -38.47, -457.38, -429.00
37.56, 607.63, 66.62, -45.11, -465.11, -12.00
37.66, 926.18, 56.06, -9.39, -459.68, 224.00
37.77, 1324.57, 69.26, 25.65, -444.81, 453.00
37.88, 1519.07, 102.52, 54.04, -432.61, 174.00
37.99, 1367.48, 124.96, 27.94, -441.64, -45.00
38.09, 981.04, 122.85, -8.70, -457.39, -297.00
38.20, 636.84, 102.43, -37.78, -500.85, -440.00
38.31, 582.66, 69.96, -48.32, -508.81, -46.00
38.43, 929.11, 56.58, -7.33, -514.48, 211.00
38.54, 1330.13, 70.14, 26.34, -495.52, 409.00
38.65, 1519.62, 100.32, 46.49, -481.72, 240.00
38.76, 1359.46, 120.82, 24.05, -486.07, -22.00
38.87, 966.40, 119.33, -7.79, -499.12, -242.00
38.97, 627.00, 101.11, -30.92, -539.81, -460.00
39.08, 588.68, 69.96, -46.72, -542.86, -29.00
39.19, 879.39, 55.79, -14.43, -535.50, 198.00
39.30, 1287.19, 66.18, 20.38, -537.15, 430.00
39.41, 1515.34, 98.65, 53.81, -515.96, 213.00
39.51, 1393.60, 123.82, 31.37, -518.86, -23.00
39.63, 994.54, 123.38, -6.41, -531.44, -280.00
39.73, 644.36, 103.84, -35.72, -565.79, -476.00
39.84, 578.72, 71.46, -48.78, -571.84, -54.00
39.95, 845.78, 56.76, -16.03, -579.19, 173.00
40.06, 1251.98, 65.74, 19.01, -561.15, 429.00
40.16, 1506.31, 93.54, 45.57, -538.40, 332.00
40.27, 1426.55, 117.48, 30.23, -539.10, 8.00
40.38, 1069.85, 121.97, 0.69, -553.51, -184.00
40.48, 691.75, 108.06, -24.05, -579.48, -485.00
40.59, 563.17, 76.82, -51.30, -597.99, -95.00
40.70, 789.45, 54.91, -24.73, -591.72, 163.00
40.81, 1193.19, 60.28, 13.05, -578.15, 466.00
